rank,mark,wind,competitor,dob,nat,pos,empty_col,venue,date,results_score
10483,10.77,-0.8,Charles NIESEN,12 MAR 1994,BEL,2f1,,Nivelles (BEL),22 JUN 2019,959
10483,10.77,-1.2,Rechmial MILLER,27 JUN 1998,GBR,2sf2,,Bedford (GBR),22 JUN 2019,962
10483,10.77,-0.8,Tobi OGUNKANMI,04 MAY 2001,GBR,2sf2,,Bedford (GBR),22 JUN 2019,959
10483,10.77,-0.3,Matej BALUCH,16 OCT 2000,SVK,1h1,,Bratislava (SVK),22 JUN 2019,956
10483,10.77,+0.2,Shimpei FUKAGAWA,26 JAN 2002,JPN,3h2,,"Nagai Stadium, Osaka (JPN)",22 JUN 2019,955
10483,10.77,+0.2,Ryohei HONDA,11 AUG 1999,JPN,1h3,,"Nagai Stadium, Osaka (JPN)",22 JUN 2019,955
10483,10.77,+0.5,Iñigo SAGAZ,23 OCT 1997,ESP,2h1,,Madrid (ESP),23 JUN 2019,955
10483,10.77,-0.6,Federico LISA,03 MAR 2000,ITA,2h2,,Mondovi (ITA),23 JUN 2019,958
10483,10.77,+1.7,Gavin COLLEY,27 JUL 1992,IRL,2f1,,"Hightstown, NJ (USA)",23 JUN 2019,955
10483,10.77,+1.9,Kai WILLIAMS,,USA,2,,"Atlanta, GA (USA)",23 JUN 2019,955
10483,10.77,+1.1,Dominic OVEREND,17 FEB 2002,NZL,1h2,,Townsville (AUS),26 JUN 2019,955
10483,10.77,+0.5,Felix ROUSSEL,15 AUG 1991,FRA,1h1,,Strasbourg (FRA),26 JUN 2019,955
10483,10.77,+0.2,Hillary Wanderson POLANCO RIJO,25 NOV 1997,ITA,6,,Nembro (ITA),28 JUN 2019,955
10483,10.77,+0.5,Ismael DIOP,10 DEC 1992,FRA,8f1,,Bruay-la-Buissiere (FRA),28 JUN 2019,955
10483,10.77,-0.8,Lionel HALLEUX,21 AUG 2000,BEL,2,,Lebbeke (BEL),29 JUN 2019,959
10483,10.77,-0.5,Stsiapan CHYSHANKOU,19 JUL 2002,BLR,1,,Kiev (UKR),29 JUN 2019,958
10483,10.77,+1.2,Hector SENE COSTA,12 JUL 1997,BRA,1,,Belo Horizonte (BRA),29 JUN 2019,955
10483,10.77,+0.9,Moritz RIEKERT,09 MAR 1992,GER,5h1,,Mannheim (GER),30 JUN 2019,955
10483,10.77,+1.5,Kristian PULLI,02 SEP 1994,FIN,6h1,,Jämsä (FIN),30 JUN 2019,955
10483,10.77,+1.5,Ville MYLLYMÄKI,15 JAN 1990,FIN,7h1,,Jämsä (FIN),30 JUN 2019,955
10483,10.77,+0.6,Malichi MURRAY,18 MAR 2000,CAN,1h1,,Edmonton (CAN),30 JUN 2019,955
10483,10.77,-0.2,Yueh-Chun SUNG,19 OCT 1997,TPE,4,,Taipei (TPE),01 JUL 2019,956
10483,10.77,-0.5,Krzysztof GRZEŚKOWIAK,03 APR 1993,POL,5,,Poznan (POL),02 JUL 2019,958
10483,10.77,-1.0,Kostas SKRABULIS,05 JUL 1992,LTU,1f1,,Vilnius (LTU),03 JUL 2019,961
10483,10.77,+0.3,Paul LADA,20 NOV 2000,FRA,7f1,,Angers (FRA),05 JUL 2019,955
10483,10.77,+0.5,Paul LADA,20 NOV 2000,FRA,2h1,,Angers (FRA),05 JUL 2019,955
10483,10.77,-1.1,Rondrick PARKER,,USA,3f4,,"Montverde, FL (USA)",06 JUL 2019,961
10483,10.77,+1.1,Maurice PIERCE,,USA,8h3,,"Montverde, FL (USA)",06 JUL 2019,955
10483,10.77,-1.7,Danil ROSLYAKOV,04 NOV 1997,RUS,3h1,,Zhukovskiy (RUS),06 JUL 2019,965
10483,10.77,-1.7,Ilfat SADEYEV,17 DEC 1988,RUS,4h1,,Zhukovskiy (RUS),06 JUL 2019,965
10483,10.77,-0.2,Joseph OJEWUMI,16 MAY 1997,IRL,2,,Tullamore (IRL),06 JUL 2019,956
10483,10.77,+1.5,Gustavo WAGNER,02 NOV 1998,BRA,2h3,,Porto Alegre (BRA),06 JUL 2019,955
10483,10.77,+0.2,Alisher SADULAYEV,25 JAN 1997,TKM,1h2,,Almaty (KAZ),07 JUL 2019,955
10483,10.77,+0.5,Renji HONJO,04 SEP 2000,JPN,5h1,,Sapporo (JPN),07 JUL 2019,955
10483,10.77,-1.9,Frederico CURVELO,11 JUL 1997,POR,3h2,,Gävle (SWE),11 JUL 2019,966
10483,10.77,+0.5,Dorian HAUTERVILLE,27 APR 1990,FRA,1h3,,Bron (FRA),11 JUL 2019,955
10483,10.77,-1.3,Yevgeniy KHARIN,01 JAN 1994,RUS,1,,Moskva (RUS),11 JUL 2019,962
10483,10.77,-0.1,Emmanuelle AJIROBA,2000,CAN,3,,Toronto (CAN),13 JUL 2019,955
10483,10.77,-0.1,Niko DOWHOS,,CAN,4,,Toronto (CAN),13 JUL 2019,955
10483,10.77,+1.3,Mathieu MARTINY,28 JUL 1994,FRA,4h3,,Montgeron (FRA),13 JUL 2019,955
10483,10.77,+0.8,Patrick Charles EZENWA,12 APR 1995,ESP,3,,Nerja (ESP),13 JUL 2019,955
10483,10.77,+0.7,Mario LÓPEZ,05 JUN 1992,ESP,1h2,,Nerja (ESP),13 JUL 2019,955
10483,10.77,0.0,Miles LEWIS,11 APR 1991,USA,6,,"New York, NY (USA)",13 JUL 2019,955
10483,10.77,+0.5,Federico MANINI,15 JAN 2001,ITA,2h1,,Bergamo (ITA),13 JUL 2019,955
10483,10.77,+1.4,Rashan STEWART,21 SEP 1999,GBR,4f1,,Ashford (GBR),14 JUL 2019,955
10483,10.77,-1.0,Özgür BEYDEMİR,17 JAN 2002,TUR,1,,Istanbul (TUR),14 JUL 2019,961
10483,10.77,+0.9,Miloš GRUJIĆ,1998,SRB,1,,Beograd (SRB),14 JUL 2019,955
10483,10.77,+0.3,Hasan SALEH,,LBN,2,,Jamhour (LBN),18 JUL 2019,955
10483,10.77,-2.3,Issa SANAGRE,16 MAR 2001,MLI,1,,Niamey (NIG),19 JUL 2019,968
10483,10.77,+1.7,Wilson PEDRO,05 MAR 1998,POR,7,,Lisboa (POR),20 JUL 2019,955
10483,10.77,+1.1,Gonçalo GONÇALVES,02 AUG 2001,POR,4h1,,Lisboa (POR),20 JUL 2019,955
10483,10.77,+0.4,Xavier RATO,25 OCT 1999,POR,4h2,,Lisboa (POR),20 JUL 2019,955
10483,10.77,+1.6,Denis DIMITROV,10 FEB 1994,BUL,1h2,,Sofia (BUL),23 JUL 2019,955
10483,10.77,+1.6,Alberto CALERO,18 JUN 1998,ESP,5h1,,Castellón (ESP),23 JUL 2019,955
10483,10.77,-1.4,Ruslan PERESTYUK,22 APR 1991,RUS,1h1,,Cheboksary (RUS),24 JUL 2019,963
10483,10.77,-0.6,Dmitriy LOPIN,29 JUL 1991,ANA,2h4,,Cheboksary (RUS),24 JUL 2019,958
10483,10.77,-0.1,Aleksey TOKAREV,20 DEC 1998,RUS,4sf2,,Cheboksary (RUS),24 JUL 2019,955
10483,10.77,-0.1,Aleksandr NIKOLAYEV,06 MAY 1999,RUS,4sf2,,Cheboksary (RUS),24 JUL 2019,955
10483,10.77,-0.8,Konstantin PETRYASHOV,16 DEC 1983,RUS,3sf3,,Cheboksary (RUS),24 JUL 2019,959
10483,10.77,-1.7,Brume OKEOGHENE,05 MAR 2005,NGR,7,,Kaduna (NGR),25 JUL 2019,965
10483,10.77,0.0,Favour ASHE,28 APR 2002,NGR,2h10,,Kaduna (NGR),25 JUL 2019,955
10483,10.77,+0.5,Ramone ENGLISH,2000,CAN,5,,Montreal (CAN),26 JUL 2019,955
10483,10.77,+1.0,Emmanuelle AJIROBA,2000,CAN,3sf1,,Montreal (CAN),26 JUL 2019,955
10483,10.77,+0.6,Adam GRABMÜLLER,02 DEC 1994,CZE,4h2,,Brno (CZE),26 JUL 2019,955
10483,10.77,+0.6,Jan TRAFINA,08 MAY 1999,CZE,3h3,,Brno (CZE),26 JUL 2019,955
10483,10.77,+1.4,Nans ANDRE,28 MAY 1997,FRA,4h1,,St-Etienne (FRA),26 JUL 2019,955
10483,10.77,+1.3,Michael MCAULEY,1999,IRL,2h2,,Santry (IRL),26 JUL 2019,955
10483,10.77,-1.2,Dominik WACHE,24 JAN 2001,GER,1h8,,Ulm (GER),26 JUL 2019,962
10483,10.77,-1.3,Magnus BUCHWALD,2000,GER,2sf3,,Ulm (GER),26 JUL 2019,962
10483,10.77,+0.9,Abdeljallil TOUR,10 FEB 1994,ALG,5,,Algiers (ALG),26 JUL 2019,955
10483,10.77,-1.1,Solomon OBUTO,30 DEC 1992,UGA,2h5,,"Mandela National Stadium, Kampala (UGA)",26 JUL 2019,961
10483,10.77,+1.1,Kyosuke TOKORO,29 DEC 1992,JPN,6,,Hiratsuka (JPN),27 JUL 2019,955
10483,10.77,-0.9,James WILLIAMS,01 OCT 1991,GBR,1sf2,,Manchester (GBR),27 JUL 2019,960
10483,10.77,+1.2,Dylan SAMPSON,,USA,2,,"Sacramento, CA (USA)",28 JUL 2019,955
10483,10.77,-1.2,Yusaku TANAKA,01 JAN 1997,JPN,5f1,,Yokohama (JPN),28 JUL 2019,962
10483,10.77,+0.7,Even MEINSETH,22 MAY 1996,NOR,2sf1,,Hamar (NOR),02 AUG 2019,955
10483,10.77,+0.6,Kristian PULLI,02 SEP 1994,FIN,3h3,,Lappeenranta (FIN),03 AUG 2019,955
10483,10.77,+1.0,Philip BLÜMEL,1997,GER,7h3,,Berlin (GER),03 AUG 2019,955
10483,10.77,+1.2,Alexander NUNLEY,2003,USA,6,,"Greensboro, NC (USA)",03 AUG 2019,955
10483,10.77,0.0,Sugantham SOMASUNDARAM,11 FEB 1992,SUI,5f2,,Bern (SUI),03 AUG 2019,955
10483,10.77,+1.5,Abdul Rashid OSMAN,,MAS,4,,Kuala Lumpur (MAS),03 AUG 2019,955
10483,10.77,+1.4,Kei YOSHIKAWA,2001,JPN,5h4,,Okinawa (JPN),05 AUG 2019,955
10483,10.77,-0.6,Hinata YAMAMOTO,2001,JPN,5sf2,,Okinawa (JPN),05 AUG 2019,958
10483,10.77,-1.3,Eanna MADDEN,25 FEB 1994,IRL,3h2,,Sandnes (NOR),09 AUG 2019,962
10483,10.77,-0.6,Hajrudin VEJZOVIĆ,01 DEC 2000,BIH,2f2,,Skopje (MKD),10 AUG 2019,958
10483,10.77,0.0,Krzysztof GRZEŚKOWIAK,03 APR 1993,POL,8f1,,Warszawa (POL),10 AUG 2019,955
10483,10.77,-0.7,Jakub GAŁANDZIEJ,17 MAR 1997,POL,2h1,,Warszawa (POL),10 AUG 2019,959
10483,10.77,-0.7,Sowan RUTTANAPON,10 JAN 1994,THA,3h1,,Warszawa (POL),10 AUG 2019,959
10483,10.77,-2.1,Adrian WESELA,15 NOV 1998,POL,3h2,,Warszawa (POL),10 AUG 2019,967
10483,10.77,-2.0,Edinson Andres BECERRA,30 APR 1997,COL,2,,Bogotá (COL),10 AUG 2019,967
10483,10.77,-2.0,Arley BARRIOS,09 JUN 1992,COL,3,,Bogotá (COL),10 AUG 2019,967
10483,10.77,+0.5,Mikael GRANQVIST,12 AUG 1999,FIN,1f2,,Helsinki (FIN),12 AUG 2019,955
10483,10.77,-1.0,Tobi OGUNKANMI,04 MAY 2001,GBR,3f2,,Manchester (GBR),14 AUG 2019,961
10483,10.77,+1.8,Daniel BROOKS,06 DEC 2000,GBR,5sr2,,Lee Valley (GBR),14 AUG 2019,955
10483,10.77,+1.2,Yevgeniy BOLDIN,12 MAR 1978,RUS,1f1,,Moskva (RUS),15 AUG 2019,955
10483,10.77,+0.1,H.S.S. KUMARA,,SRI,5sf1,,Colombo (SRI),16 AUG 2019,955
10483,10.77,-0.8,Yupun Abeykoon MUDIYANSELAGE,31 DEC 1994,SRI,1sf3,,Colombo (SRI),16 AUG 2019,959
10483,10.77,-0.5,Kostas SKRABULIS,05 JUL 1992,LTU,3h1,,Kessel-Lo (BEL),17 AUG 2019,958
10483,10.77,-0.2,Bailey WRIGHT,,GBR,2f1,,Woodford (GBR),17 AUG 2019,956
10483,10.77,-1.5,Muhammad Zulfiqar BIN ISMAIL,31 JAN 1999,MAS,3,,Bangi (MAS),19 AUG 2019,964
10483,10.77,+0.2,Khairul Hafiz JANTAN,22 JUL 1998,MAS,1h1,,Bangi (MAS),19 AUG 2019,955
10483,10.77,-1.6,. PRANJWAL,,IND,2h3,,Pune (IND),20 AUG 2019,964
10483,10.77,+0.3,Mark Otieno ODHIAMBO,11 MAY 1993,KEN,2h1,,"Nyayo National Stadium, Nairobi (KEN)",20 AUG 2019,955
10483,10.77,-1.5,Stephen ONYANGO,,KEN,2sf2,,"Nyayo National Stadium, Nairobi (KEN)",20 AUG 2019,964
10483,10.77,+1.4,Volodymyr SUPRUN,24 JAN 1994,UKR,3h1,,Lutsk (UKR),21 AUG 2019,955
10483,10.77,+1.5,Zhildas BAKHI HEY,21 JUN 1993,UKR,3h3,,Lutsk (UKR),21 AUG 2019,955
10483,10.77,-0.8,Sugantham SOMASUNDARAM,11 FEB 1992,SUI,3sf1,,"Stadion Schützenmatte, Basel (SUI)",23 AUG 2019,959
10483,10.77,-0.2,Ancuiam LOPES,06 MAR 1991,POR,2,,"Stade Charléty, Paris (FRA)",24 AUG 2019,956
10483,10.77,-1.1,Frederik SCHOU-NIELSEN,05 MAY 1995,DEN,7f2,,"Stade Charléty, Paris (FRA)",24 AUG 2019,961
10483,10.77,+0.2,Ancuiam LOPES,06 MAR 1991,POR,6f3,,"Stade Charléty, Paris (FRA)",24 AUG 2019,955
10483,10.77,+1.0,Daniel OBENG,20 MAY 1993,GBR,4h5,,"Alexander Stadium, Birmingham (GBR)",24 AUG 2019,955
10483,10.77,+1.0,Jiří PECHAR,24 MAR 2001,CZE,1f2,,"Stadion Juliska, Praha (CZE)",24 AUG 2019,955
10483,10.77,+0.4,Ibrahim DIOMANDE,31 JAN 2000,CIV,6h5,,"Prince Moulay Abdellah, Rabat (MAR)",26 AUG 2019,955
10483,10.77,+0.6,Zanson PLUMMER,27 MAR 1997,GBR,7f1,,Lee Valley (GBR),28 AUG 2019,955
10483,10.77,0.0,Joshua KOßMANN,1995,GER,1,,"Jahnstadion, Göttingen (GER)",28 AUG 2019,955
10483,10.77,+0.6,Hakeem HUGGINS,21 JAN 1997,SKN,2h,,Nassau (BAH),30 AUG 2019,955
10483,10.77,-0.4,Jitse MIEVIS,12 MAY 1998,BEL,2h2,,"Boudewijnstadion, Bruxelles (BEL)",31 AUG 2019,957
10483,10.77,-0.7,Tuukka HUUSKOLA,24 MAY 1998,FIN,1h1,,Porvoo (FIN),31 AUG 2019,959
10483,10.77,0.0,Kohei SANO,16 NOV 1998,JPN,3f2,,"Prefectural Stadium, Fujiyoshida (JPN)",01 SEP 2019,955
10483,10.77,-0.1,Eric DE GROOT,14 JUN 2000,SUI,3,,Winterthur (SUI),07 SEP 2019,955
10483,10.77,+0.3,Jan JIRKA,05 OCT 1993,CZE,1h2,,Hodonín (CZE),08 SEP 2019,955
10483,10.77,-0.6,Yahiro MATSUBARA,23 JUL 2000,JPN,6h1,,"Nagaragawa Stadium, Gifu (JPN)",12 SEP 2019,958
10483,10.77,+0.2,Yusuke ROKUROUMEN,02 APR 1998,JPN,7h4,,"Nagaragawa Stadium, Gifu (JPN)",12 SEP 2019,955
10483,10.77,-0.6,Shinichiro KITAGAWA,05 NOV 1997,JPN,5h9,,"Nagaragawa Stadium, Gifu (JPN)",12 SEP 2019,958
10483,10.77,-0.1,Ryota SUZUKI,25 JUN 1999,JPN,8sf2,,"Nagaragawa Stadium, Gifu (JPN)",13 SEP 2019,955
10483,10.77,+1.1,Freider FORNASARI,11 NOV 1997,ITA,1f1,,"Guidobaldi, Rieti (ITA)",14 SEP 2019,955
10483,10.77,-1.3,Guanfeng CHEN,05 FEB 2000,CHN,1,,Shenyang (CHN),20 SEP 2019,962
10483,10.77,+1.1,Hao-Chuan YUEHLIU,10 NOV 2000,TPE,4sf1,,Taipei (TPE),20 SEP 2019,955
10483,10.77,+1.2,Muhammad Zulfiqar BIN ISMAIL,31 JAN 1999,MAS,1h3,,Kota Belud (MAS),21 SEP 2019,955
10483,10.77,-1.3,Hiroaki SUZUKI,19 MAY 1994,JPN,2h4,,"Nagai Stadium, Osaka (JPN)",21 SEP 2019,962
10483,10.77,-0.1,Kotaro TANIGUCHI,03 NOV 1994,JPN,3h5,,"Nagai Stadium, Osaka (JPN)",21 SEP 2019,955
10483,10.77,+0.4,Guilherme DOS SANTOS,15 AUG 2000,BRA,1h1,,Londrina (BRA),27 SEP 2019,955
10483,10.77,+0.4,Mateo VARGAS,27 JUL 2002,PAR,1h6,,Las Condes (CHI),04 OCT 2019,955
10483,10.77,-0.8,Muh. Syazrul ADLI SAIFUL,2001,MAS,1,,Kuala Lumpur (MAS),05 OCT 2019,959
10483,10.77,-0.9,Kazuki NAKAINKYO,04 JUL 1998,JPN,8sf3,,"Prefectural Kasamatsu Stadium, Hitachinaka (JPN)",05 OCT 2019,960
10483,10.77,-0.8,Min-kyun KIM,11 JUN 1989,KOR,3h3,,"Olympic Stadium, Jamsil, Seoul (KOR)",06 OCT 2019,959
10483,10.77,+0.5,Nilo Alessandro DURE ALVARENGA,02 JUL 1998,PAR,1h4,,Buenos Aires (ARG),12 OCT 2019,955
10483,10.77,+0.6,Yusaku TAKAHASHI,28 MAY 1998,JPN,1f3,,"Prefectural Stadium, Niigata (JPN)",19 OCT 2019,955
10483,10.77,+1.9,Shay VEITCH,17 DEC 2000,NZL,1f7,,"The Caledonian Ground, Dunedin (NZL)",02 NOV 2019,955
10483,10.77,-1.6,Russel Alexander NASIR TAIB,05 APR 1998,MAS,1f1,,"QSAC, Nathan, Brisbane (AUS)",09 NOV 2019,964
10891,10.78,+0.2,Sasha ZHOYA,25 JUN 2002,AUS,1ce,,Perth (AUS),12 JAN 2019,952
10891,10.78,+1.5,Kevin RASSOOL,01 MAY 1992,AUS,5f4,,Melbourne (AUS),18 JAN 2019,952
10891,10.78,+0.4,Jordan BOLLAND,15 MAR 1998,NZL,3,,Wellington (NZL),18 JAN 2019,952
10891,10.78,+0.1,Aaron BRESLAND,04 JUL 1994,AUS,8f1,,Canberra (AUS),28 JAN 2019,952
10891,10.78,+0.1,Joshua AZZOPARDI,27 NOV 1999,AUS,9f1,,Canberra (AUS),28 JAN 2019,952
10891,10.78,0.0,Nicholas BATE,13 MAR 1995,AUS,3f2,,Canberra (AUS),28 JAN 2019,952
10891,10.78,+0.7,Antonio PHILLIPS,,JAM,2f4,,Kingston (JAM),02 FEB 2019,952
10891,10.78,+0.3,Chad RICHARDS,1997,TTO,2f4,,Port-of-Spain (TTO),02 FEB 2019,952
10891,10.78,+1.6,Nicholas BATE,13 MAR 1995,AUS,1,,Sydney (AUS),16 FEB 2019,952
10891,10.78,+1.4,David LOPEZ,,USA,1f1,,"Ventura, CA (USA)",22 FEB 2019,952
10891,10.78,+1.4,A.S.M. SAFAN,06 FEB 1998,SRI,1h1,,Colombo (SRI),22 FEB 2019,952
10891,10.78,+0.4,Marcus FLEMING,,USA,1h9,,"Miami, FL (USA)",23 FEB 2019,952
10891,10.78,+0.8,Antonio WEEKES,1997,BAR,7,,St. Michael (BAR),23 FEB 2019,952
10891,10.78,-2.2,Philimon DLODLO,,ZIM,1f1,,Gaborone (BOT),28 FEB 2019,965
10891,10.78,+0.1,Tyrese COOPER,21 MAR 2000,USA,1h2,,"Miami, FL (USA)",01 MAR 2019,952
10891,10.78,-1.9,Brandon JETTER,,USA,2f1,,"Berkeley, CA (USA)",02 MAR 2019,963
10891,10.78,+0.6,Tasrico BELL,06 SEP 1997,JAM,7f1,,Kingston (JAM),02 MAR 2019,952
10891,10.78,+1.1,Kevin MCPHERSON,,JAM,2f3,,Kingston (JAM),02 MAR 2019,952
10891,10.78,-1.5,Dedrick VANOVER,,USA,1,,"Savannah, GA (USA)",02 MAR 2019,961
10891,10.78,-1.9,Raphael NGAGUELE MBERLINA,10 JAN 2001,CMR,2,,Bafoussam (CMR),02 MAR 2019,963
10891,10.78,-1.6,Franco BOCCARDO,21 APR 1989,CHI,2f1,,Santiago de Chile (CHI),02 MAR 2019,961
10891,10.78,-1.2,Ignacio NORDETTI,09 OCT 1997,CHI,1h1,,Santiago de Chile (CHI),02 MAR 2019,959
10891,10.78,-1.1,Mikaal-il MOHAMED,10 JUN 2001,RSA,3f1,,Pretoria (RSA),05 MAR 2019,958
10891,10.78,+0.5,Jake DORAN,17 JUL 2000,AUS,1h2,,Brisbane (AUS),08 MAR 2019,952
10891,10.78,+0.8,Alberto AGUILAR,09 MAR 1985,VEN,2h1,,Barquisimeto (VEN),08 MAR 2019,952
10891,10.78,+1.0,David LOPEZ,,USA,4f1,,"Los Angeles, CA (USA)",09 MAR 2019,952
10891,10.78,+0.3,Aaron WATSON,,USA,2f1,,"San Diego, CA (USA)",09 MAR 2019,952
10891,10.78,+1.5,Eran SIBONI,02 JUL 1997,ISR,5f10,,"Lake Charles, LA (USA)",09 MAR 2019,952
10891,10.78,+1.7,Kyle PLEBAN,1995,USA,3f1,,"Hollywood, FL (USA)",12 MAR 2019,952
10891,10.78,-1.3,Ryuya OKADA,25 NOV 1999,JPN,2f1,,Osaka (JPN),13 MAR 2019,959
10891,10.78,+0.7,Stephen HAGEN,,USA,1f4,,"Coral Gables, FL (USA)",16 MAR 2019,952
10891,10.78,-0.9,Andre LEVERIDGE,,JAM,3f6,,Spanish Town (JAM),16 MAR 2019,957
10891,10.78,-1.3,Timmar WILSON,,JAM,5f8,,Spanish Town (JAM),16 MAR 2019,959
10891,10.78,-0.2,Javan MARTIN,15 APR 1998,BAH,4,,"Houston, TX (USA)",16 MAR 2019,953
10891,10.78,-0.3,Jacquez STUART,,USA,2,,"Jacksonville, FL (USA)",16 MAR 2019,953
10891,10.78,-0.6,Alex GRAY,,USA,1f1,,"Bradenton, FL (USA)",16 MAR 2019,955
10891,10.78,-1.4,Alaba Olukunle AKINTOLA,14 SEP 2001,NGR,2,,Ilaro (NGR),16 MAR 2019,960
10891,10.78,-0.9,Agalivie EFE-SAM,12 MAY 2002,NGR,1sf3,,Ilaro (NGR),16 MAR 2019,957
10891,10.78,-1.0,Gessael LOPEZ,21 JUL 1995,MEX,2h3,,Monterrey (MEX),16 MAR 2019,958
10891,10.78,-0.3,Denesh MAJA,02 SEP 1998,RSA,1h3,,Pretoria (RSA),16 MAR 2019,953
10891,10.78,0.0,Lovepreet SINGH,27 NOV 1999,IND,2sf1,,Patiala (IND),17 MAR 2019,952
10891,10.78,-0.2,Safiku MONDAL,08 JUL 1996,IND,2sf2,,Patiala (IND),17 MAR 2019,953
10891,10.78,-0.2,Gurlal SINGH,10 DEC 1994,IND,3sf3,,Patiala (IND),17 MAR 2019,953
10891,10.78,+0.9,Y.C.M. YODASINGHE,2000,SRI,4h1,,Colombo (SRI),22 MAR 2019,952
10891,10.78,+0.2,Devin AUGUSTINE,2003,TTO,1f1,,Port-of-Spain (TTO),23 MAR 2019,952
10891,10.78,-1.3,Declan RUSTAY,09 MAR 2000,USA,1f1,,"Carbondale, IL (USA)",23 MAR 2019,959
10891,10.78,+1.3,David KOLÁŘ,27 MAR 1997,CZE,5f2,,"San Diego, CA (USA)",23 MAR 2019,952
10891,10.78,-0.3,Guillaume RICHARDS,,USA,4f1,,"Tampa, FL (USA)",23 MAR 2019,953
10891,10.78,+1.4,Sandro JOSEPH,,USA,1f2,,"Tampa, FL (USA)",23 MAR 2019,952
10891,10.78,+1.5,Reo NAKAMURA,13 OCT 1998,JPN,1sr3,,Kitakyushu (JPN),23 MAR 2019,952
10891,10.78,+1.9,Ramir SMITH,,USA,3f1,,"San Mateo, CA (USA)",23 MAR 2019,952
10891,10.78,+1.8,Benny JUNG,,USA,1h3,,"Waukesha, WI (USA)",28 MAR 2019,952
10891,10.78,0.0,Chi Ho TSUI,17 FEB 1990,HKG,3f2,,Singapore (SGP),29 MAR 2019,952
10891,10.78,+1.1,Lonzell FEAGIN,,USA,4f2,,"Raleigh, NC (USA)",29 MAR 2019,952
10891,10.78,+0.9,Chris STUBBS,,USA,1f1,,"San Francisco, CA (USA)",29 MAR 2019,952
10891,10.78,+1.5,Jadon MADDUX,2001,USA,6,,"Austin, TX (USA)",30 MAR 2019,952
10891,10.78,+0.2,Zachary LARRIER,,USA,2,,"Palo Alto, CA (USA)",30 MAR 2019,952
10891,10.78,+1.3,Shotaro MUROYA,04 AUG 1997,JPN,7f2,,Hachioji (JPN),30 MAR 2019,952
10891,10.78,-0.4,Chrischand LEWIS,2001,USA,1f1,,"Richmond, VA (USA)",30 MAR 2019,954
10891,10.78,-0.3,Kenny MAY,,USA,1f1,,"San Diego, CA (USA)",30 MAR 2019,953
10891,10.78,-1.7,José Andrés SALAZAR,11 JAN 1997,ESA,1,,San Salvador (ESA),30 MAR 2019,962
10891,10.78,-0.7,Gregory LADAY,,USA,1f1,,"Greeley, CO (USA)",31 MAR 2019,956
10891,10.78,-0.1,Godfrey OKERENYANG,2002,AUS,1,,Sydney (AUS),04 APR 2019,952
10891,10.78,-0.3,Harrison HUNT,01 APR 1999,AUS,5h5,,Sydney (AUS),05 APR 2019,953
10891,10.78,-0.3,Joshua AZZOPARDI,27 NOV 1999,AUS,5h5,,Sydney (AUS),05 APR 2019,953
10891,10.78,+1.7,Guillaume RICHARDS,,USA,6f2,,"Jacksonville, FL (USA)",05 APR 2019,952
10891,10.78,-1.7,Tyler LINNEN,07 FEB 1996,RSA,6,,Stellenbosch (RSA),05 APR 2019,962
10891,10.78,-0.5,Chederick VAN WYK,18 FEB 1995,RSA,1h3,,Stellenbosch (RSA),05 APR 2019,955
10891,10.78,-1.2,Ifeanyi Emmanuel OJELI,10 OCT 1998,NGR,2,,Ijebu Ode (NGR),05 APR 2019,959
10891,10.78,-0.7,Agalivie EFE-SAM,12 MAY 2002,NGR,2h5,,Ijebu Ode (NGR),05 APR 2019,956
10891,10.78,+1.8,Isaiah ROYBAL,,USA,1,,"Chico, CA (USA)",05 APR 2019,952
10891,10.78,+0.8,Christopher FREDERICK,,USA,4f1,,"Williamsburg, VA (USA)",05 APR 2019,952
10891,10.78,-3.5,Ryuta NISHIZAWA,28 AUG 1998,JPN,2sf3,,Osaka (JPN),05 APR 2019,973
10891,10.78,+0.4,Hamish GILL,15 FEB 1997,NZL,sf2,,Sydney (AUS),06 APR 2019,952
10891,10.78,+0.4,Lamarco PETTY,,USA,7f1,,"Auburn, AL (USA)",06 APR 2019,952
10891,10.78,+0.4,Enzo FAULBAUM,23 JAN 1998,CHI,2f1,,Santiago de Chile (CHI),06 APR 2019,952
10891,10.78,+0.8,Keishawn EVERLY,08 APR 2000,USA,7f2,,"Tucson, AZ (USA)",06 APR 2019,952
10891,10.78,+1.7,Stone DARROW,,USA,1,,"Pella, IA (USA)",06 APR 2019,952
10891,10.78,+1.5,AJ TISDEL,,USA,5f2,,"Houston, TX (USA)",06 APR 2019,952
10891,10.78,-0.2,Jarret EATON,24 JUN 1989,USA,6,,"Charlotte, NC (USA)",06 APR 2019,953
10891,10.78,0.0,Cornell SAYLES,,USA,5,,"San Angelo, TX (USA)",06 APR 2019,952
10891,10.78,-0.2,Sho ICHINEI,02 MAR 1999,JPN,1f4,,Yokohama (JPN),06 APR 2019,953
10891,10.78,+1.5,Rahman OTENG,07 JUL 1998,GHA,1f4,,"New London, CT (USA)",06 APR 2019,952
10891,10.78,+0.9,Tellis HORNE,1999,USA,1,,"Alliance, OH (USA)",06 APR 2019,952
10891,10.78,+2.0,Miguel CANTERO,10 JUN 1997,ARG,1,,Buenos Aires (ARG),06 APR 2019,952
10891,10.78,+0.7,Ge BIE,02 AUG 1992,CHN,3h7,,Zhaoqing (CHN),07 APR 2019,952
